ratio_column	min	max	mean	median	std	variance	skewness	kurtosis
Poor_M9_ATC5.rep1ME_raw_ratio	-3258579679.49618	5822292071.15993	-852458.2670715306	0.00039360620956105	285701888.8241897	8.162556927770966e+16	10.72210111766013	293.9447373883606
Poor_M9_ATC5.rep2ME_raw_ratio	-3700483092.49885	6429169844.471459	-1793890.6818307608	0.0005515849280625499	271599785.1102474	7.376644327193254e+16	15.27330648699996	434.4613084376461
Rich_LB_ATC12.rep1ME_raw_ratio	-3604919185.49808	7749185180.2694	-19673449.744330246	-0.0089864173717338	277107098.00367904	7.678834376402058e+16	3.6637541768958255	329.65615457673226
Rich_LB_ATC12.rep2ME_raw_ratio	-4374497373.39189	4819753143.37589	-95808466.87391369	-0.01325485561638435	544523662.820651	2.9650601937161805e+17	-3.78074540907967	35.26343601496674
Rich_M9_ATC5_1.rep1ME_raw_ratio	-1064265639.93159	4070053146.5908	-1743752.9596138801	-0.0005259162231083	89999717.27857843	8099949110224050.0	18.462718443065764	967.4491069588437
Rich_M9_ATC5_1.rep2ME_raw_ratio	-2347033641.24926	3452796260.34908	-19559315.695699245	-0.00498302449178145	191078795.87547192	3.6511106233220264e+16	-3.237117394214086	95.49299730151391
Rich_M9_ATC5_2.rep1ME_raw_ratio	-1922361784.28971	3290254567.32074	-18987728.799574234	-0.00574173816438115	210385247.36314026	4.426195230804971e+16	-2.267738577083265	82.85156295420042
Rich_M9_ATC5_2.rep2ME_raw_ratio	-1753095076.60829	3449823244.51014	-18032199.05339408	-0.0040986845321872006	173397013.75205764	3.006652437813127e+16	-2.9652356998556697	86.67651426006022
Rich_M9_ATC5_CAM1.2.rep1ME_raw_ratio	-2079103801.73712	3300188159.59216	-13533302.899004923	-0.00393108602957075	140599991.58816043	1.9768357634590784e+16	-0.07281376020155607	183.13305092232147
Rich_M9_ATC5_CAM1.2.rep2ME_raw_ratio	-2828712248.6744795	2.265125079152923	-15831071.635364668	-0.00402409912606635	143387148.4591876	2.05598743432571e+16	-11.631879019627556	168.48148092855263
Rich_M9_ATC5_NOX.rep1ME_raw_ratio	-1766161606.03697	6674990233.8328	5672600.882006911	-0.0001356504430674	174721096.26796368	3.052746148107903e+16	26.958924049174744	970.9161414438307
Rich_M9_ATC5_NOX.rep2ME_raw_ratio	-2009565092.60886	1733825810.6672	-1204555.7242841807	-7.280441760552724e-05	99040936.86792569	9809107175676442.0	-6.855507071659592	285.66435376226326
Rich_M9_ATC5_PH5.rep1ME_raw_ratio	-1332857695.33453	3424747157.35489	1125451.348098403	0.00149562831320815	90066479.11815993	8111970660741939.0	20.059130263367425	860.9699243207767
Rich_M9_ATC5_PH5.rep2ME_raw_ratio	-3350830740.41709	5513001610.87818	-26742837.859936118	-0.00908597430759885	301441213.5947455	9.086680525347298e+16	-1.3276127061983258	126.20893635818449
Rich_M9_ATC5_TMP.rep1ME_raw_ratio	-1752161673.14618	2821439442.9830604	5403676.7986253565	0.00169727228232675	115973612.9328226	1.3449878896692156e+16	14.452757425643114	362.3977397236432
Rich_M9_ATC5_TMP.rep2ME_raw_ratio	-1723604462.91323	3267373318.1858697	2147188.024127551	0.0018554415348091499	106658614.08228509	1.1376059957953822e+16	7.918416429546738	425.07965007300237
Rich_M9_No_ATC_1.rep1ME_raw_ratio	-1910447570.15745	6648577135.331321	511985.06403764844	-0.0005688495895172501	147053411.24877226	2.1624705759900544e+16	25.702018763323675	1109.93474334364
Rich_M9_No_ATC_1.rep2ME_raw_ratio	-2296159116.90122	3030977562.87176	-11613501.891640449	-0.0062462213871225004	150416900.34657294	2.2625243909870852e+16	-7.879336065049598	147.01118711545092
Rich_M9_No_ATC_2.rep1ME_raw_ratio	-2210310770.65346	6089589396.706249	-1168622.1070814654	-7.508655117962965e-05	156677058.70430657	2.454770072423273e+16	24.7611551497029	1033.4510059056743
Rich_M9_No_ATC_2.rep2ME_raw_ratio	-747508670.107463	4588038000.58834	5654717.60429195	-1.17404756780385e-06	155853332.3035349	2.4290261190116076e+16	24.99811123875773	691.5952146075458
